Temperature (K),Brightness (watts/m2),Parallax (arcsec),distance ,luminosity,Lum in solar units (J/s)
3492.127311,8.03E-14,0.0113486,4.48E+13,2.52E+28,6.59E+01
3492.110459,8.24E-14,0.0107157,4.37E+13,2.40E+28,6.27E+01
3491.555366,7.76E-14,0.00947862,4.64E+13,2.71E+28,7.07E+01
3491.501901,9.10E-14,0.010473,3.96E+13,1.97E+28,5.14E+01
3491.480256,7.63E-14,0.00765829,4.72E+13,2.80E+28,7.32E+01
3491.467665,7.32E-14,0.0088157,4.92E+13,3.04E+28,7.94E+01
3490.933427,8.03E-14,0.00767043,4.48E+13,2.52E+28,6.59E+01
3490.932588,8.01E-14,0.00800429,4.49E+13,2.54E+28,6.64E+01
3490.932092,8.94E-14,0.010334,4.03E+13,2.04E+28,5.33E+01
3490.372673,7.21E-14,0.0096256,4.99E+13,3.13E+28,8.18E+01
3490.372431,8.56E-14,0.0106138,4.21E+13,2.23E+28,5.82E+01
3490.354082,8.95E-14,0.0102605,4.02E+13,2.03E+28,5.31E+01
3490.271345,4.25E-14,0.01157,8.47E+13,9.01E+28,2.36E+02
3490.079901,3.01E-14,0.00787059,1.20E+14,1.80E+29,4.70E+02
3489.839703,8.38E-14,0.00862556,4.30E+13,2.32E+28,6.07E+01
3489.292065,8.79E-14,0.0101236,4.10E+13,2.11E+28,5.51E+01
3489.144474,5.82E-14,0.0107984,6.19E+13,4.81E+28,1.26E+02
3488.818542,7.43E-14,0.00866008,4.85E+13,2.95E+28,7.71E+01
3488.35729,7.84E-14,0.0104607,4.59E+13,2.65E+28,6.93E+01
3488.357192,9.39E-14,0.0110398,3.83E+13,1.85E+28,4.83E+01
3488.222923,5.98E-14,0.0104592,6.02E+13,4.55E+28,1.19E+02
3487.982373,4.68E-14,0.0104037,7.69E+13,7.44E+28,1.94E+02
3487.920814,4.60E-14,0.0111957,7.83E+13,7.70E+28,2.01E+02
3487.816044,7.82E-14,0.00955014,4.60E+13,2.67E+28,6.97E+01
3487.585589,5.48E-14,0.0120343,6.57E+13,5.43E+28,1.42E+02
3487.581172,4.84E-14,0.0103782,7.44E+13,6.95E+28,1.82E+02
3487.563964,5.16E-14,0.0116378,6.98E+13,6.12E+28,1.60E+02
3487.440795,7.10E-14,0.0107995,5.07E+13,3.23E+28,8.43E+01
3487.439421,7.54E-14,0.0105722,4.77E+13,2.87E+28,7.50E+01
3486.672683,8.82E-14,0.010647,4.08E+13,2.09E+28,5.48E+01
3486.516901,7.26E-14,0.0107934,4.96E+13,3.09E+28,8.08E+01
3486.311573,8.68E-14,0.0101601,4.15E+13,2.16E+28,5.65E+01
3485.662758,5.23E-14,0.00887732,6.88E+13,5.95E+28,1.56E+02
3485.512628,7.77E-14,0.0122482,4.63E+13,2.70E+28,7.06E+01
3485.487254,7.63E-14,0.0108866,4.72E+13,2.80E+28,7.32E+01
3484.550709,6.83E-14,0.00842031,5.27E+13,3.49E+28,9.13E+01
3484.241823,8.44E-14,0.0111235,4.27E+13,2.29E+28,5.98E+01
3483.9536,8.35E-14,0.00920752,4.31E+13,2.34E+28,6.11E+01
3482.927124,8.90E-14,0.0119398,4.04E+13,2.05E+28,5.37E+01
3482.471374,8.30E-14,0.00982473,4.34E+13,2.36E+28,6.17E+01
3482.238677,8.47E-14,0.00982545,4.25E+13,2.27E+28,5.94E+01
3481.889408,8.88E-14,0.0128265,4.05E+13,2.07E+28,5.40E+01
3481.264361,8.33E-14,0.00898527,4.32E+13,2.35E+28,6.14E+01
3481.220435,9.84E-14,0.010142,3.66E+13,1.68E+28,4.40E+01
3481.087851,7.70E-14,0.00894351,4.68E+13,2.74E+28,7.17E+01
3481.074416,7.72E-14,0.00877255,4.66E+13,2.73E+28,7.14E+01
3480.937393,9.68E-14,0.0105409,3.72E+13,1.74E+28,4.54E+01
3480.76053,8.69E-14,0.00902238,4.14E+13,2.16E+28,5.64E+01
3480.759155,8.82E-14,0.00877781,4.08E+13,2.09E+28,5.47E+01
3480.715961,9.82E-14,0.0110922,3.67E+13,1.69E+28,4.42E+01
3480.648331,8.48E-14,0.00898771,4.25E+13,2.27E+28,5.92E+01
3480.352141,7.80E-14,0.00898445,4.62E+13,2.67E+28,6.99E+01
3480.349856,8.10E-14,0.0100464,4.44E+13,2.48E+28,6.49E+01
3480.347688,1.07E-13,0.0121977,3.36E+13,1.42E+28,3.72E+01
3480.278147,1.19E-13,0.00989169,3.03E+13,1.14E+28,2.99E+01
3480.234181,9.69E-14,0.00852241,3.72E+13,1.73E+28,4.53E+01
3480.188706,8.01E-14,0.00882893,4.49E+13,2.54E+28,6.63E+01
3480.113323,1.14E-13,0.0118553,3.16E+13,1.25E+28,3.28E+01
3480.050185,7.99E-14,0.00951146,4.51E+13,2.55E+28,6.66E+01
3479.299375,6.85E-14,0.00913371,5.26E+13,3.47E+28,9.08E+01
3473.747191,6.96E-14,0.00865425,5.17E+13,3.36E+28,8.79E+01
3469.403408,6.55E-14,0.011882,5.50E+13,3.80E+28,9.93E+01
3467.750888,5.94E-14,0.00889918,6.06E+13,4.61E+28,1.21E+02
3466.924762,7.08E-14,0.00850247,5.08E+13,3.25E+28,8.49E+01
3452.576808,4.52E-14,0.0109436,7.96E+13,7.97E+28,2.08E+02
3452.294915,4.22E-14,0.010133,8.53E+13,9.14E+28,2.39E+02
3450.096685,3.48E-14,0.00918119,1.03E+14,1.35E+29,3.52E+02
3449.980606,4.50E-14,0.0104974,8.00E+13,8.06E+28,2.11E+02
3444.658832,5.03E-14,0.00994516,7.16E+13,6.44E+28,1.68E+02
3441.450296,5.92E-14,0.0107822,6.08E+13,4.64E+28,1.21E+02
3436.717742,5.12E-14,0.0103011,7.03E+13,6.21E+28,1.62E+02
3422.003257,5.66E-14,0.0107329,6.36E+13,5.08E+28,1.33E+02
