Temperature (K),Brightness (watts/m2),Parallax (arcsec)
4883.80853429619,1.34578673204714e-12,0.0117478
4881.55621720317,2.99754317305383e-11,0.010134
4879.83477383516,1.19915019642448e-12,0.0104542
4878.94271949615,1.02442359152194e-12,0.0116231
4876.76425456991,9.74403065018384e-13,0.0106523
4876.76269161941,8.57677570222432e-13,0.00889311
4876.74695119148,9.73250156611689e-13,0.0116131
4871.98667966026,3.6321996098859004e-11,0.00929699
4870.49601051199,1.15681971854758e-12,0.0109905
4869.72819715997,1.1785813891959499e-12,0.0112594
4868.21493585002,8.23037156597139e-13,0.0100501
4866.98884623388,1.09565158496114e-12,0.011994
4866.08152075194,1.18962944497694e-12,0.0094681
4860.31860944881,9.69285445744059e-13,0.00899622
4858.73692514737,1.13457489078281e-12,0.0100454
4856.5083677761,1.1028648916962299e-12,0.0107995
4855.9072897145,9.0962122823063e-13,0.00893652
4853.63005695986,9.98530906047224e-13,0.00846039
4853.32820037835,1.08815317106898e-12,0.00914829
4853.20839359653,1.18132853034752e-12,0.0106334
4852.02872006201,1.7694311016721297e-11,0.0109388
4851.66527452793,9.88608914432744e-13,0.0114498
4851.64952717001,1.0754012144277e-12,0.0114218
4847.52957146645,9.83440808364427e-13,0.0105448
4847.52054081703,1.01876030383665e-12,0.0102882
4846.65935526855,8.11996824466905e-13,0.0119917
4846.64430262598,7.19120608122829e-13,0.0114653
4846.26927913005,1.0016855529790001e-12,0.0109887
4846.08410299347,1.08451717617286e-12,0.00984873
4845.72962844061,1.07325600894568e-12,0.0106521
4842.81805821173,1.03577936142618e-12,0.0113918
4841.38941702099,9.83888982214368e-13,0.0107082
4837.70239155184,7.73332421927686e-13,0.0109085
4835.83643046407,9.02733045500577e-13,0.00933479
4835.81965889973,8.98302932772981e-13,0.0104202
4835.55780396323,9.46770008539155e-13,0.010878
4835.55319008558,1.0070864014110999e-12,0.0098805
4835.54499806811,8.52886937162589e-13,0.0108166
4834.62955950281,1.11881801572939e-12,0.00938262
4832.41673665305,9.44990179822023e-13,0.0108473
4832.40587774954,1.07471888419352e-12,0.0104387
4831.99202744344,1.08167144928254e-12,0.00833525
4829.66544722263,1.6753127056195e-11,0.010623
4825.7419693565,9.71549536805541e-13,0.00930114
4824.31255120956,9.30457517248283e-13,0.00868374
4823.6718015131,1.3905050787788098e-11,0.00951993
4822.86745555606,1.2157480877633099e-12,0.0116084
4820.59191914956,1.01841238886897e-12,0.0114302
4819.19123318983,8.055088350112729e-13,0.00849605
4819.17551856899,1.0028733150801099e-12,0.00901493
4818.28221326591,1.2045700441972499e-12,0.0113005
4815.62605026161,9.38607837812377e-13,0.012109
4812.58633244782,9.57167473998769e-13,0.00841006
4811.78092181691,9.48920897887949e-13,0.00815838
4804.88234273122,1.02369976378623e-12,0.00996431
4803.46470478381,1.12899838461933e-12,0.00998052
4799.26394454034,6.33097709697413e-11,0.011787
4799.25228322717,5.161629281822e-11,0.0111665
4798.56024663341,1.13756279571749e-12,0.0113196
4798.38563415687,5.3860172089563295e-11,0.00848546
4795.9275660368,1.0845094528854799e-12,0.00881362
4795.90614366201,1.20923657670267e-12,0.0109847
4794.30468730732,1.2032559197662899e-12,0.0111896
4790.63949223426,8.89028063367719e-13,0.00997967
4785.80346117218,1.06288093311593e-12,0.00972388
4781.4799215695,1.20308053314371e-12,0.0109977
4781.12061418917,5.73179146462275e-13,0.0107596
4775.01170233777,7.46048386200596e-13,0.0104674
4767.42008048124,5.659753206663669e-13,0.0096909
4765.56318366238,1.76611809862282e-11,0.011575
4764.43871712758,9.73680534289249e-13,0.0100812
4751.03915369605,6.75333663362298e-13,0.0116247
4723.65762417193,7.99087738395994e-13,0.0098308
4723.502523641,3.95769070682104e-11,0.00854617
4712.7558512297,8.37756140811009e-13,0.00961707
4711.78519547171,7.74473845000919e-13,0.00851996
4697.26870366537,7.836315922812729e-13,0.0102421
4696.88834051078,9.40025758756146e-13,0.00929869
4696.81586689591,9.74687415357803e-13,0.0108099
4696.14756300081,8.26289744996874e-13,0.0086741
4694.14563997388,7.02629505910015e-13,0.00928507
4693.45108864825,7.72875496834557e-13,0.0102874
4692.1482037465,9.43388917025857e-13,0.0100773
4691.11223422479,8.59778924831433e-13,0.00922269
4689.72746825264,8.5642903786349e-13,0.011723
4688.80039613647,6.13991350770106e-13,0.0082603
4686.83914618179,8.385837457365489e-13,0.00997778
4684.2318800044,7.78551284177187e-13,0.00889282
